,beer,score,style,abv,rating,cleaned_review
4375,Westly,100,Wild Ale,8.5%,4.55,"wow! thanks to drlovemd87 for sharing this rare gem, its always a pleasure to get to share these with close friends. this might represent the final evolution of the apricot wild ale, and after being only lukewarm on the west ashley (in regards to all the hype), this one really takes it to the next level. twice the apricots and twice the time in barrels! the pour is hazy short of rusted orange, pale and soft looking, no visible particulate in here, but still sort of raw looking. nearly a full inch of airy white head lingers. the aroma here is near perfection, about is forward as apricots have ever been, including allagash, cascade, crooked stave, and yes, cantillon too. its juicy and bright, sweet enough, even fuzz on the outside just a little bit. oddly nutty like the pits but that could be a handover from the wood. the fruit is pulpy and ripe and dominant, but there is a great mixed culture sourness backing it up, cutting the sweet, and highlighting some of the wheaty grain base and oak treatments, all well integrated and powerful, but also quite mellow and approachable as they go. the flavor is still really ripe apricots and interesting funk and sour combined. the fruit is incredible here, maybe a step short of its explosive aroma, but really pungent and to the point. it tastes like a fresh apricot in the peak of the season, as true to the fruit as any of the beers out there. its quite sour too, a lot of lactic acidity, ahead of the wild funk aspects, and well ahead of the oak. it gets even more sour as it warms, which it does in this instance because i cant put my glass down to stop smelling it! a bottle of this might be a lot as a solo mission, so i was really glad to be sharing it. i could see the acidity getting overwhelming. its like too much of a good thing, a third of a bottle was exactly perfect. probably the best expression of apricots i have seen in a beer, and the white wine notes from the wood and the yeasts are a great compliment to the fruit. easily the best of the beers i have had from these guys, and probably the new benchmark in the style. unlike the west ashley, this is entirely worth all of the high praise it gets! a memorable experience."
4376,Abt 12,99,Quadrupel (Quad),10%,4.9,"Served at 4°C. Brown dark amber, slightly opaque, brownish foam immediately disappearing, highly carbonated."
4377,Bad Boy,99,IPA - Imperial,9%,4.29,"On-tap at Chupacabra in Mesa, AZ: Pours golden with a white head. White lacing sticks. The smell is of huge tropical and citrus notes with some tangerine and pine that is musty in a good way. The taste is of tropical and citric fruits, tangerine and a touch of pine. Some solvent alcohol, but overall the alcohol is well-integrated. Nice bitter bite in the finish. Smooth - not too hot despite some noticeable alcohol (as expected for abv level). A very enjoyable hop-forward imperial IPA!"
4378,Juicy,99,Farmhouse Ale - Saison,7.4%,4.56,"Appearance: With a nice hearty, vigorous pour, the beer produced about a 2.5 finger of soft, white foamy head. About half of the foam laced the glass after about a minute or two of sitting. Aroma: It smells of wine barrel, oak, tart cherry and other fruity aromas. Taste: On the first sip, I pick up some tart funk, some straw, some wine barrel. At the very end of the sip, there is a really subtle, slight bitter finish. It is really refreshing and enjoyable. Mouthfeel: It seems to carry a lower carb feel to it, but it works for me Overall: This lived up to the hype for me. It was a really good, enjoyable beer for me. I like what the wine barrels did to the overall taste of the beer. Thanks to jhavs for making this one happen."
4379,Doubleganger,100,IPA - New England,8.2%,4.84,"From a 16oz can dated 12/16/20 into a pint glass. Can message: ""Double tha Juice"" Pours an opaque yellowish, light brownish orange with about two fingers of thick white head. Amazing lacing and retention. This beer is thick and viscous looking. Smells of mango, peach, pineapple, grapefruit, oranges and a bit of floral and earthy notes. Taste picks up where the nose left off. There is a strong bitter piney back end to the sip. The beer feels thick but soft. Unbelievably drinkable. Strong bitter aftertaste. Low carbonation. This was a gift from a friend. Can't believe he gave this to me. Probably the best beer I've had from Tree House."
4380,A Deal With The Devil - Double Oak-Aged,100,Barleywine - American,17%,4.81,"Not at all for the faint of heart, this massive barleywine of ale is a testament to what ale can be and not of what anyone prescribes what it should be. High succulent charms the senses with slow-sipping rewards, patience is rewarded while basking in the indulgence of what's best about cognac, bourbon and oak. Double oaked A Deal With The Devil pours with a highly viscous weight while glossing the glass with such brandy legging and sugary weight. Tawny mahogany in color, the beer's appearance gives way to breath taking aromas of brown sugar, toffee, molasses, chocolate, wine and a cognac and sherry glazed boozy spice. The combination of bourbon and cognac carries the full force of blackstrap molasses, sorghum, brown sugar and the unexplainable savory taste of extended aged sherry. The beer explodes on the middle palate as the booze-soaken fruits of fig, date, raisin, red grape, plum, blackberry and prune all represent the macerated character of the most savory fruit tar to exist. Oxidation notes nearly extend past port and sherry and into the world of teriyaki and soy sauce with a kiss of fudge. Playfully tangy, the sweet and heat of the late palate, balances with a lavish malty rich taste and a spicy, sassy finish. Full, chewy and pleasantly cloying, the most supple of sips quickly reach across the palate and saturate the tastebuds completely with the sweetness of butter rum, butter pecan and an elegant richness that satisfies the sweet tooth and the need for all-things-savory all at once. Its forever long finish closes with an afterglow of seared sweetness, fortified wines and lavish malt richness."
4381,Sang Noir,99,Wild Ale,9.3%,4.25,"Poured from a 750ml corked bottle into a stemmed wine glass. Purchased in Attleboro MA. Pours a muddy hazy brown body with an off white head that reduces to a single layer with some spotty lacing. Aromas are lactic with dark fruits with some oak. Taste is pretty sour with cherries and dark fruits, lactic sourness, slightly acetic, sherry, definitely sweet, plums, brown sugar. Finish is tannic. Medium body with medium low carbonation."
4382,Nectarine Premiere,100,Farmhouse Ale - Saison,7.1%,5.0,Had this on draft on site at De Garde.
4383,Framboise Du Fermier,100,Farmhouse Ale - Saison,8%,4.22,"B2 shared on 8-19-18(Fermier Day). Pours on the lighter shade of ruby(it was the lightest shade compared with Quetsche, Kriek, and Bluet). Nice raspberry funk on the nose. An initial raspberry flavor hits the palate, but for some strange reason quickly fades as my acidic ""woo"" reaction kicks in. I've read so many reviews here with the same ""jam/jammy"" comments, and I was very disappointed when I finally got to try this coveted brew, because those 2 words are far from the truth. Jam is sweet, something you put on bread(or crackers if you really want to be Mr. Fancy Pants). This beer is strongly acidic, dare I say overly so."
4384,Double Dry Hopped Double Mosaic Dream,100,IPA - New England,8.5%,4.59,"Sweet pineapple, tropical hoppy, and piney dank nose on this one! Taste follows with a juicy and soft tropical hoppy bitterness...some dank bitter notes come out and linger a while on the finish. Well-balanced! Really good!"
4385,Keene Idea,100,IPA - Imperial,8.88%,4.8,This is like Nelson on crack. So delicious. Barely noticeable ABV. One Alpine beer you know you're getting from their production and not Green Flash. Must try. Another winner from Alpine.
4386,Imperial Eclipse Stout - Elijah Craig (12 Year),99,Stout - American Imperial,11.9%,4.5,"Pour is jet black, thick tan head. Aromas are led by the barrel, but the dark chocolate aromas are present, as is the honey. The taste has the dark chocolate evolving to a rich cocoa flavor, which may be the combination of the dark chocolate flavors and the honey. Whatever it is, I absolutely LOVE it. There's also a boozy burn present, but it's well onto the back of the palate, and isn't overwhelming in any way. I wish I'd purchased three bombers of this, because it is exceptionally well executed."
4387,Kentucky Brunch Brand Stout,100,Stout - American Imperial,12%,5.0,"2020 Bottle. Absolutely bonkers Maple Syrup on the nose. Coffee opens up after a minute, but this beer straight up nails the syrup-soaked French Toast profile. Hate the small-format bottles.. wanted more!"
4388,Double Barrel Jesus,99,Stout - American Imperial,12%,5.0,"I tried this alongside my previous favorite beer - the Evil Twin Aún Más A Jesús. This was clearly better. Unfortunately, I tasted close to 20 other top rated beers that day, and I didn't take any notes for a thorough review. But I know my scoring is accurate, as this and the Aún Más A Jesús were the first two beers I tasted that night. To me, this is the best of the best."
4389,Coffee Cinnamon B-Bomb,100,Strong Ale - American,13%,4.5,"Poured from a bottle (2017 vintage) into a small tasting glass L: pours a nice very dark black brown with a moderate tan khaki head. Fades after a minute or so, leaves a nice ring of foam around the edge when it does S: nice and inviting nose, full without coming across heavy or sweet. Great chocolate aroma to open, solid roast coffee comes through as well. There’s a bit of cinnamon spice coming through as well, adds some nice complexity but doesn’t become a dominant note. A bit more cinnamon as it’s warmed, along with a small bit of abv heat T: follows the nose well, a great dark chocolate note with dark roast coffee notes shining as well. That cinnamon comes through to add some nice depth, but again more playing a supporting role than really acting as a main flavor. This was as it was cold from the fridge - as it’s warmed that cinnamon comes through more, still not aggressive but a nice addition to the chocolate. Medium-long finish, with a nice bitter coffee/dark chocolate coming through. Abv works very well, provides that warming character without coming across hot F: medium body, medium carbonation, would have liked it a bit thicker but not sure if that’s me thinking stout vs. winter warmer (what is the appropriate body for the style?) O: a really nice winter warmer (not that I’ve had many in the style). Solid nose, great flavor - some age in the bottle has muted the adjuncts but I’d say they still come through well"
4390,Fort Point Pale Ale,99,Pale Ale - American,6.6%,3.73,"16oz can - Double Dry Hopped version Pours a small finger of white head into my willi becher glass, a little soapy looking, dissipates quickly. Good initial lacing. Body looks like orange juice. Meh, looks ok I guess. Nose is pretty juicy, loaded with grapefruit, some mango. Dank, piney hops linger underneath the fruit. Small amount of creamy wheat present as well.  Pretty nice job of staying balanced between traditional hop aromas, and fruit. Not an “American pale ale” by any means, as their website says, regardless, smells pretty good. Flavor is good, but doesn’t quite have that crisp refreshing punch I’m looking for. A little under carbonated, and while the hops are there, they don’t help make up for the lack of carbonation with any real mouthfeel contributions – drinks like juice. As for actual flavors, mostly those dank piney hops come through. Grapefruit is a secondary flavor, mango is not really present. I’m glad the hearty hop notes are the ones that are shining, yet it is still missing something - perhaps a little watery in some areas. At times, it’s hard to differentiate between poor mouthfeel, and flavor. Definitely not a sweet NE style, which again, is good. Tastes good, but has its issues. Not much else to say about mouthfeel that hasn’t already been said, under carbonated, a little watery, bitterness does not linger, not too sweet. Overall sub par. The drinkability is very high, it’s not a perfect beer, but it’s very tasty and unoffensive. Appearance turned out decent I guess. Lacing was patchy to say the least, but better than nothing. Overall it’s a tasty brew that hits home with the right flavors, but it is a little derailed by a low carbonation and watery taste/feel."
